#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T15:37:59 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T15:37:59	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/253/7&tab:{J/ApJS/253/7/table11}&key:source=J/ApJS/253/7/table11&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/253/7/table11
#-order=I
#-out=Cat
#-out=FName
#-out=m_PName
#-out=OName
#-out=f_FName
#-out=r_FName
#-out=SpTO
#-out=f_SpTO
#-out=r_SpTO
#-out=SpTIR
#-out=r_SpTIR
#-out=u_plx
#-out=plx
#-out=e_plx
#-out=pmtot
#-out=e_pmtot
#-out=AS
#-out=AS-flags
#-out=Teff
#-out=e_Teff
#-out=Note
#-out=PName
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_22530007
#Name: J/ApJS/253/7
#Title: A full-sky census of brown dwarfs within 20pc (Kirkpatrick+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/253/7	
#INFO	publisher=CDS	
#INFO	creator=Kirkpatrick J.D.	
#INFO	related_resource=bibcode:2021ApJS..253....7K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/253/7	
#INFO	publication_date=2023-10-24	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJS_253_7_table11:
#Name: J/ApJS/253/7/table11
#Title: The full-sky 20-pc census of L, T, and Y dwarfs (known as of 2020 Oct)
#Column	Cat	(A7)	Catalog used for FName if any	[ucd=instr.setup;meta.table]
#Column	FName	(A19)	Full name, position-based identifier	[ucd=meta.id;meta.main]
#Column	m_PName	(A2)	Component ID on object	[ucd=meta.code.multip]
#Column	OName	(a21)	Other name	[ucd=meta.id]
#Column	f_FName	(A1)	Cross identification flags for Table A1 (1)	[ucd=meta.code]
#Column	r_FName	(a7)	Discovery Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTO	(a12)	Optical spectral type	[ucd=src.spType]
#Column	f_SpTO	(A1)	Flag on SpTO (2)	[ucd=meta.code]
#Column	r_SpTO	(A3)	Reference(s) for SpTO (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTIR	(a14)	Near-IR spectral type	[ucd=src.spType]
#Column	r_SpTIR	(a7)	Reference(s) for SpTIR (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	u_plx	(A1)	[:u ] Uncertainty flag (3)	[ucd=meta.code.error;pos.parallax]
#Column	plx	(F8.4)	[37.1/501.6]? Absolute parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.4)	[0.019/21.4]? Uncertainty in plx	[ucd=stat.error;pos.parallax]
#Column	pmtot	(F7.2)	[11.7/8151.6]? Total proper motion	[ucd=pos.pm]
#Column	e_pmtot	(F5.2)	[0.1/99.7]? Uncertainty in pmtot	[ucd=stat.error]
#Column	AS	(a6)	Source of the astrometry (see refs.dat file)	[ucd=meta.bib]
#Column	AS-flags	(A1)	Flags on astrometry (4)	[ucd=meta.code]
#Column	Teff	(I4)	[250/2338]? Effective surface temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	[10/198]? Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	Note	(a7)	Special note(s) (5)	[ucd=meta.note]
#Column	PName	(A9)	Short name position code for object (HHMM+DDMM; J2000) as in other tables; column added by CDS	[ucd=meta.id]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad or names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad or names (declination part)	[ucd=pos.eq.dec;meta.main]
Cat;FName;m_PName;OName;f_FName;r_FName;SpTO;f_SpTO;r_SpTO;SpTIR;r_SpTIR;u_plx;plx;e_plx;pmtot;e_pmtot;AS;AS-flags;Teff;e_Teff;Note;PName;SimbadName;_RA;_DE
 ; ; ; ; ; ; ; ; ; ; ; ;mas;mas;mas/yr;mas/yr; ; ;K;K; ; ; ;deg;deg
-------;-------------------;--;---------------------;-;-------;------------;-;---;--------------;-------;-;--------;-------;-------;-----;------;-;----;---;-------;---------;----------------------------;---------;---------
SDSS   ;J000013.54+255418.6;  ;                     ; ;57     ;T5          ; ;214;T4.5          ;61     ; ; 70.8000; 1.9000; 128.10; 1.30;67    ; ;1227; 95;       ;0000+2554;SDSS J000013.54+255418.6    ;000.05644;+25.90502
2MASS  ;J00043484-4044058  ;  ;GJ 1001 B            ; ;101    ;            ; ;   ;L5            ;102    ; ; 82.0946; 0.3768;1641.60; 0.60;168   ; ;1613;134;       ;0004-4044;GJ 1001 B                   ;001.14528;-40.73513
       ;J000434-404405     ;  ;GJ 1001C             ; ;116    ;            ; ;   ;L5            ;102    ; ; 82.0946; 0.3768;1641.60; 0.60;168   ; ;1613;134;       ;0004-4044;                            ;001.14167;-40.73472
WISE   ;J000517.48+373720.5;  ;                     ; ;8      ;            ; ;   ;T9            ;8      ; ;126.9000; 2.1000;1033.60; 1.40;0     ; ; 555; 88;       ;0005+3737;WISE J000517.48+373720.5    ;001.32283;+37.62236
2MASS  ;J00145575-4844171  ;  ;                     ; ;103    ;L2.5~pec    ; ;103;L2.5+/-1      ;104    ; ; 50.1064; 0.3898; 915.10; 0.50;168   ; ;1887; 88;       ;0014-4844;2MASS J00145575-4844171     ;003.73237;-48.73803
WISE   ;J001505.87-461517.6;  ;                     ; ;2      ;            ; ;   ;T8            ;2      ; ; 75.2000; 2.4000; 802.50; 1.50;0     ; ; 656; 88;       ;0015-4615;WISE J001505.87-461517.6    ;003.77449;-46.25491
2MASSW ;J0015447+351603    ;  ;                     ; ;105    ;L2          ; ;105;L1.0          ;106    ; ; 58.6085; 0.3664; 262.90; 0.50;168   ; ;1898; 88;       ;0015+3516;2MASSW J0015447+351603      ;003.93656;+35.26740
CWISE  ;J002727.44-012101.7;  ;                     ; ;0      ;            ; ;   ;T9            ;0      ;u; 54.2000; 7.9000; 452.90; 3.30;0     ; ; 566; 79;[59.8] ;0027-0121;CWISE J002727.44-012101.7   ;006.86346;-01.35044
WISE   ;J003110.04+574936.3;  ;                     ; ;20     ;            ; ;   ;L8            ;20     ; ; 71.0000; 3.2000; 522.10; 2.20;0     ; ;1460; 88;       ;0031+5749;WISE J003110.04+574936.3    ;007.78870;+57.82680
WISE   ;J003231.09-494651.4;  ;                     ; ;2      ;            ; ;   ;T8.5          ;2      ; ; 60.8000; 2.5000; 937.20; 1.60;0     ; ; 609; 88;       ;0032-4946;WISE J003231.09-494651.4    ;008.12955;-49.78096
ULAS   ;J003402.77-005206.7;  ;                     ; ;27     ;            ; ;   ;T8.5          ;10     ; ; 68.7000; 1.4000; 359.20; 0.80;67    ; ; 619; 88;       ;0034-0052;ULAS J003402.77-005206.7    ;008.51156;-00.86856
2MASS  ;J00345157+0523050  ;  ;                     ; ;3      ;            ; ;   ;T6.5          ;61     ; ;118.8000; 2.7000; 696.80; 2.00;0     ; ; 899; 82;       ;0034+0523;2MASS J00345157+0523050     ;008.71490;+05.38475
2MASSW ;J0036159+182110    ;  ;                     ; ;107    ;L3.5        ; ;107;L4            ;124    ; ;114.4167; 0.2088; 910.00; 0.40;168   ; ;1869; 64;       ;0036+1821;2MASSW J0036159+182110      ;009.06713;+18.35286
WISE   ;J003829.05+275852.1;  ;                     ; ;8      ;            ; ;   ;T9            ;8      ; ; 88.2000; 2.0000;  93.20; 1.40;0     ; ; 545; 88;       ;0038+2758;WISE J003829.05+275852.1    ;009.62107;+27.98115
       ;J003921+211501     ;  ;Gl 27B               ; ;28     ;            ; ;   ;T8            ;61     ; ; 89.7891; 0.0581; 591.80; 0.10;168   ;a; 793; 35;       ;0039+2115;* 54 Psc B                  ;009.82879;+21.25467
WISE   ;J004024.88+090054.8;  ;                     ; ;8      ;            ; ;   ;T7            ;8      ; ; 69.8000; 1.5000;  74.50; 2.20;1     ; ; 850; 88;       ;0040+0900;WISE J004024.88+090054.8    ;010.10386;+09.01520
CWISE  ;J004143.77-401929.9;  ;                     ; ;0      ;            ; ;   ;T8~pec        ;0      ; ; 76.7000; 9.6000;1532.90; 2.10;0     ; ; 686; 79;       ;0041-4019;CWISE J004143.77-401929.9   ;010.43243;-40.32498
